,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.41,1.69,1.37,1.47,1.90,1.42,1.48,1.41,1.33
Qu,1.56,,1.59,1.38,1.53,1.63,1.45,1.42,1.36,1.33
PU,1.63,1.42,,1.37,1.54,1.71,1.48,1.44,1.41,1.33
PEU,1.39,1.36,1.40,,1.61,1.36,1.41,1.45,1.35,1.28
ENJ,1.43,1.34,1.49,1.47,,1.47,1.49,1.42,1.39,1.34
BI,1.70,1.38,1.57,1.38,1.45,,1.36,1.47,1.41,1.31
JR,1.37,1.26,1.31,1.35,1.39,1.45,,1.46,1.41,1.35
Pf,1.41,1.26,1.33,1.36,1.43,1.45,1.45,,1.38,1.32
Im,1.46,1.31,1.46,1.37,1.46,1.38,1.51,1.40,,1.44
SA,1.41,1.31,1.35,1.38,1.48,1.36,1.43,1.50,1.46,
