,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,0.15,0.40,0.03,0.07,0.43,-0.04,0.03,0.05,0.07
Qu,0.15,,0.18,0.04,0.09,0.05,-0.20,-0.10,-0.15,-0.01
PU,0.28,0.17,,0.04,0.14,0.37,-0.03,-0.01,0.07,0.03
PEU,-0.02,0.08,0.12,,0.25,0.07,-0.02,0.01,0.02,-0.03
ENJ,0.05,0.11,0.19,0.16,,0.06,-0.01,-0.04,0.05,0.08
BI,0.38,0.11,0.29,0.04,0.06,,-0.08,0.05,0.04,0.01
JR,0.00,-0.02,0.00,0.00,-0.01,0.01,,0.00,0.05,0.06
Pf,0.04,-0.02,0.02,0.00,0.00,0.10,0.02,,0.00,0.04
Im,0.05,0.03,0.11,0.01,0.05,0.06,0.04,-0.12,,0.19
SA,0.01,-0.01,0.03,0.04,0.06,-0.05,-0.07,0.03,0.07,
