,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,0.15,0.41,0.04,0.13,0.51,-0.01,0.06,0.08,0.06
Qu,0.11,,0.22,0.12,0.16,0.14,-0.06,-0.02,-0.09,0.01
PU,0.28,0.18,,0.08,0.22,0.36,-0.01,0.03,0.07,0.03
PEU,0.02,0.09,0.12,,0.27,0.07,0.01,0.02,0.03,0.03
ENJ,0.05,0.12,0.21,0.17,,0.09,-0.01,-0.01,0.05,0.07
BI,0.30,0.13,0.29,0.04,0.09,,-0.01,0.09,0.05,0.02
JR,-0.03,-0.01,-0.01,0.01,-0.00,0.01,,-0.00,0.05,0.05
Pf,0.04,-0.01,0.03,0.01,-0.00,0.09,0.00,,0.01,0.04
Im,0.05,0.01,0.09,0.02,0.06,0.09,0.07,-0.00,,0.11
SA,-0.00,0.02,0.02,0.03,0.07,0.02,0.02,0.03,0.11,
