,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,-0.496,0.082,-0.103,-0.093,0.115,0.009,0.074,-0.442,0.429
From ENJ,0.001,,-0.05,-0.148,-0.076,-0.014,-0.09,-0.12,-0.433,0.13
From Im,-0.069,-0.599,,-0.333,-0.396,-0.067,-0.056,-0.29,-0.955,0.184
From JR,-0.15,-0.438,-0.03,,-0.365,-0.291,-0.08,-0.387,-0.601,0.03
From PEU,-0.151,-0.394,-0.178,-0.402,,-0.102,-0.071,-0.245,-1.025,0.054
From PU,0.177,-0.116,0.01,-0.227,-0.235,,-0.102,-0.216,-0.746,0.323
From Pf,-0.21,-0.628,-0.257,-0.32,-0.488,-0.248,,-0.393,-1.029,0.092
From Qu,0.124,-0.348,-0.075,-0.485,-0.526,-0.051,-0.091,,-1.113,0.154
From SA,-0.092,-0.339,-0.047,-0.176,-0.223,-0.139,-0.003,-0.249,,0.098
From Use,0.23,-0.494,-0.024,-0.47,-0.413,0.141,-0.061,-0.138,-1.301,
