,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,0.096,0.224,0.087,0.207,0.318,0.105,0.177,0.056,0.479
From ENJ,0.142,,0.129,0.058,0.285,0.193,0.036,0.091,0.098,0.203
From Im,0.181,0.027,,0.084,0.222,0.145,0.034,0.101,0.06,0.325
From JR,0.015,-0.003,0.11,,0.2,-0.005,0.044,0.018,0.047,0.151
From PEU,0.04,0.127,0.113,0.053,,0.073,0.053,0.083,0.072,0.193
From PU,0.372,0.199,0.195,0.06,0.248,,0.058,0.195,0.047,0.408
From Pf,0.087,-0.007,0.102,0.07,0.203,0.031,,0.033,0.047,0.223
From Qu,0.304,0.111,0.199,0.074,0.245,0.269,0.053,,0.075,0.356
From SA,0.053,0.071,0.12,0.062,0.236,0.077,0.076,0.049,,0.203
From Use,0.568,0.086,0.248,0.05,0.216,0.365,0.101,0.214,0.045,
