,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,0.123,0.223,0.093,0.217,0.336,0.113,0.201,0.073,0.511
From ENJ,0.149,,0.141,0.059,0.294,0.215,0.038,0.111,0.108,0.226
From Im,0.213,0.058,,0.098,0.22,0.175,0.053,0.124,0.078,0.337
From JR,0.021,-0.004,0.128,,0.198,0.007,0.041,0.02,0.052,0.164
From PEU,0.053,0.162,0.13,0.049,,0.1,0.051,0.092,0.095,0.185
From PU,0.403,0.213,0.211,0.059,0.254,,0.066,0.221,0.081,0.426
From Pf,0.106,0.0,0.102,0.074,0.204,0.045,,0.044,0.066,0.232
From Qu,0.329,0.129,0.216,0.063,0.26,0.305,0.077,,0.08,0.381
From SA,0.072,0.103,0.147,0.08,0.25,0.08,0.067,0.06,,0.2
From Use,0.591,0.11,0.266,0.058,0.218,0.395,0.12,0.236,0.084,
