,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.40,1.74,1.36,1.53,2.05,1.47,1.53,1.40,1.36
Qu,1.44,,1.56,1.45,1.49,1.61,1.40,1.38,1.28,1.30
PU,1.63,1.41,,1.38,1.55,1.81,1.52,1.43,1.43,1.35
PEU,1.42,1.37,1.42,,1.71,1.46,1.48,1.46,1.37,1.27
ENJ,1.43,1.37,1.48,1.49,,1.48,1.49,1.44,1.38,1.39
BI,1.74,1.40,1.58,1.40,1.49,,1.43,1.48,1.40,1.34
JR,1.37,1.28,1.34,1.38,1.45,1.48,,1.47,1.42,1.34
Pf,1.44,1.28,1.38,1.40,1.44,1.45,1.53,,1.38,1.33
Im,1.47,1.33,1.44,1.38,1.48,1.44,1.52,1.36,,1.43
SA,1.41,1.30,1.34,1.39,1.46,1.37,1.44,1.51,1.44,
