,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.39,1.72,1.38,1.46,1.91,1.51,1.52,1.45,1.33
Qu,1.52,,1.54,1.41,1.45,1.64,1.47,1.44,1.42,1.33
PU,1.59,1.36,,1.40,1.47,1.72,1.47,1.47,1.45,1.34
PEU,1.40,1.32,1.39,,1.47,1.45,1.52,1.48,1.39,1.30
ENJ,1.41,1.33,1.49,1.45,,1.50,1.51,1.45,1.37,1.34
BI,1.73,1.36,1.56,1.39,1.45,,1.33,1.50,1.43,1.30
JR,1.36,1.28,1.34,1.38,1.41,1.43,,1.46,1.42,1.31
Pf,1.42,1.29,1.34,1.38,1.40,1.47,1.53,,1.40,1.31
Im,1.46,1.30,1.43,1.39,1.43,1.53,1.54,1.46,,1.37
SA,1.40,1.30,1.38,1.39,1.45,1.47,1.50,1.51,1.44,
