,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.43,1.72,1.38,1.51,1.96,1.45,1.49,1.43,1.27
Qu,1.53,,1.53,1.33,1.49,1.55,1.51,1.45,1.33,1.34
PU,1.60,1.42,,1.32,1.58,1.75,1.51,1.45,1.41,1.28
PEU,1.40,1.38,1.41,,1.62,1.50,1.51,1.49,1.39,1.32
ENJ,1.44,1.38,1.47,1.38,,1.47,1.45,1.41,1.40,1.36
BI,1.70,1.42,1.60,1.38,1.49,,1.41,1.49,1.40,1.32
JR,1.41,1.30,1.31,1.38,1.40,1.41,,1.47,1.45,1.26
Pf,1.42,1.31,1.36,1.38,1.40,1.46,1.51,,1.37,1.34
Im,1.42,1.31,1.40,1.36,1.45,1.47,1.58,1.43,,1.35
SA,1.45,1.31,1.33,1.36,1.51,1.44,1.40,1.46,1.42,
