Relation,Strength mean,Strength deviation
Use->BI,0.428225060907,0.0525113854481
Use->PU,0.395072395468,0.0190489391228
BI->Use,0.350203065142,0.0257336299964
PU->BI,0.322544317033,0.0336588480368
BI->PU,0.282507396661,0.0170966725102
PU->Use,0.27846444484,0.0101914526761
Qu->PU,0.248682636101,0.0403432755106
ENJ->PU,0.198232737369,0.0133432705633
PEU->ENJ,0.190440818088,0.0586764839739
Qu->BI,0.179418954312,0.0662251089503
Qu->Use,0.163651222563,0.0301077603245
PU->Qu,0.161042329298,0.0183796123872
PU->ENJ,0.160682153002,0.0330871581322
Use->Qu,0.151280464155,0.00608668893185
BI->Qu,0.120119785088,0.0149460165953
Im->SA,0.114829117697,0.051932001977
Im->PU,0.111335656573,0.0276725499345
ENJ->PEU,0.110353199765,0.062201600745
ENJ->Qu,0.0924499300108,0.0197502450845
SA->Im,0.0874178570868,0.0301843555789
Use->ENJ,0.0837263137162,0.0233719641364
PEU->PU,0.0792313891908,0.0345433014382
PEU->Qu,0.0748671677368,0.0125017225192
Qu->ENJ,0.071530169536,0.0715167640586
BI->ENJ,0.0663324224375,0.0249420360094
Use->Im,0.0632829315195,0.0221036858668
PU->Im,0.0624068441169,0.0126559453162
ENJ->BI,0.0601027952161,0.0200266353675
Im->Use,0.0583769100355,0.0351226631434
Pf->BI,0.0575226550048,0.0468174886719
JR->Im,0.0575186756266,0.0103661555371
BI->Pf,0.0569939703642,0.0148730230906
SA->ENJ,0.0549824425806,0.0204090793244
Qu->PEU,0.053380169979,0.0326764070389
Im->ENJ,0.0527368299773,0.00798696402162
PEU->BI,0.0498302881906,0.0267584559093
ENJ->Use,0.0449848290449,0.00987938504783
ENJ->SA,0.0448952715176,0.022331371485
SA->Pf,0.0430225203589,0.0172361428524
ENJ->Im,0.0400889369014,0.00978091484269
BI->Im,0.0355273524732,0.0177998963569
Im->BI,0.0344197254789,0.0715846361392
Use->SA,0.0313996528646,0.0238884172107
JR->SA,0.0302033449098,0.0370442259405
Use->Pf,0.0288929597334,0.0413365177541
PU->PEU,0.0287679721442,0.032542193137
JR->BI,0.0249429043574,0.0206005182292
Im->JR,0.024207912265,0.0523078485146
BI->PEU,0.0233880619989,0.0211191873899
SA->PEU,0.0221268085434,0.0203502157322
Pf->SA,0.0212419371951,0.0216700332139
Use->PEU,0.0180995507768,0.013876142493
SA->PU,0.0177754936312,0.0335320224068
PU->Pf,0.0165443239479,0.0124111867188
Im->Qu,0.013583344715,0.0162897780819
Pf->Use,0.0132895315282,0.0285202923298
PU->SA,0.00945419609282,0.0251207192525
Pf->PU,0.00704304661254,0.0158144998417
SA->Qu,0.00658502462512,0.00888238256478
BI->SA,0.0045184224886,0.0151650754345
PEU->Pf,0.00336316817594,0.0202909826945
JR->Pf,0.0033554946081,0.0079398016951
SA->Use,0.00241834981062,0.0212414416338
Pf->JR,0.00240934409685,0.0124777802404
JR->ENJ,-0.00251884454733,0.00430698413005
Pf->Im,-0.00265184286644,0.012068271591
Im->PEU,-0.00520214726695,0.0255882432256
PEU->Im,-0.00548200970195,0.0247102224033
Pf->PEU,-0.00923649017386,0.0144831533323
JR->PU,-0.010016589153,0.00785311400557
SA->BI,-0.0106897148465,0.045065281015
PEU->SA,-0.013189418522,0.0285372211282
JR->PEU,-0.0137954159432,0.0177006283065
Pf->Qu,-0.0163710224419,0.0088242148839
JR->Qu,-0.0167343211395,0.00511440751997
Pf->ENJ,-0.0187451629213,0.0306888145673
PU->JR,-0.0226432437465,0.0116632337207
PEU->Use,-0.0245267549134,0.04552456338
PEU->JR,-0.0291197549084,0.0232175635866
ENJ->JR,-0.0305133293541,0.0389411286625
Qu->Pf,-0.0310316389291,0.0371161835417
JR->Use,-0.031053382488,0.0201742737161
Use->JR,-0.0313825549048,0.0156469421161
ENJ->Pf,-0.0333698346109,0.0163989399912
Im->Pf,-0.0410233134739,0.0426579823859
SA->JR,-0.0474070412513,0.0489609343246
Qu->Im,-0.0595917455413,0.0571489755917
BI->JR,-0.0677124745131,0.0394090693385
Qu->JR,-0.0958646969894,0.0803039311128
Qu->SA,-0.100667945896,0.201113050142
