,Use,Qu,PU,PEU,ENJ,BI,JR,Vis,Pf,Exp,Im,SA,Inc
Use,,0.15,0.40,0.02,0.10,0.49,-0.09,0.21,0.01,0.24,0.05,0.05,0.04
Qu,0.17,,0.29,0.07,0.16,0.03,-0.18,0.18,-0.01,0.03,-0.20,-0.09,-0.06
PU,0.27,0.19,,0.04,0.18,0.34,-0.05,0.11,-0.01,0.14,0.07,0.03,-0.03
PEU,-0.02,0.10,0.11,,0.16,0.07,-0.03,0.10,0.02,0.02,0.01,-0.05,-0.01
ENJ,0.04,0.08,0.20,0.08,,0.07,0.00,0.03,-0.04,0.06,0.05,0.08,0.01
BI,0.37,0.12,0.27,0.04,0.07,,-0.08,0.18,0.05,0.15,0.04,0.01,0.06
JR,0.00,0.00,0.00,-0.00,-0.01,0.04,,-0.01,0.00,-0.00,0.04,0.06,-0.02
Vis,0.36,0.08,0.22,0.09,0.05,0.26,-0.01,,0.11,0.14,0.04,0.01,0.06
Pf,-0.01,-0.01,0.02,0.00,-0.01,0.10,0.01,0.06,,0.07,-0.00,-0.02,-0.08
Exp,0.38,0.10,0.25,0.09,0.13,0.28,-0.04,0.14,0.14,,0.02,0.09,0.01
Im,0.11,0.04,0.10,0.02,0.05,0.07,0.04,0.03,-0.04,-0.01,,0.18,-0.05
SA,0.03,0.02,0.04,0.00,0.09,-0.06,-0.10,-0.01,-0.01,0.05,0.05,,-0.04
Inc,0.00,-0.01,0.03,0.01,0.00,0.11,-0.08,0.04,0.00,0.02,-0.03,0.00,
