,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,0.16,0.37,0.03,0.07,0.36,-0.06,0.02,0.08,0.02
Qu,0.21,,0.29,0.05,0.06,0.25,-0.22,-0.03,-0.05,-0.12
PU,0.26,0.16,,-0.02,0.14,0.28,-0.03,0.01,0.05,0.01
PEU,-0.02,0.08,0.06,,0.18,0.04,-0.04,-0.04,-0.04,-0.04
ENJ,0.03,0.10,0.22,0.09,,0.03,-0.12,-0.04,0.03,0.02
BI,0.34,0.12,0.26,0.05,0.02,,-0.12,0.04,0.01,-0.01
JR,-0.06,-0.02,-0.02,-0.03,0.00,0.05,,0.02,0.06,0.04
Pf,0.01,-0.01,-0.02,-0.02,-0.08,0.03,-0.01,,-0.02,-0.01
Im,0.09,0.02,0.14,-0.03,0.05,-0.01,-0.02,-0.05,,0.16
SA,-0.01,0.01,0.03,0.05,0.03,0.01,-0.11,0.06,0.14,
