,Use,Qu,PU,PEU,ENJ,BI,JR,Vis,Pf,Exp,Im,SA,Inc
Use,,0.15,0.41,0.04,0.13,0.51,-0.01,0.22,0.06,0.26,0.08,0.06,0.01
Qu,0.11,,0.22,0.12,0.16,0.14,-0.06,0.13,-0.02,0.09,-0.09,0.01,0.01
PU,0.28,0.18,,0.08,0.22,0.36,-0.01,0.10,0.03,0.14,0.07,0.03,0.01
PEU,0.02,0.09,0.12,,0.27,0.07,0.01,0.11,0.02,0.05,0.03,0.03,-0.03
ENJ,0.05,0.12,0.21,0.17,,0.09,-0.01,0.02,-0.01,0.06,0.05,0.07,-0.01
BI,0.30,0.13,0.29,0.04,0.09,,-0.01,0.13,0.09,0.15,0.05,0.02,0.08
JR,-0.03,-0.01,-0.01,0.01,-0.00,0.01,,0.01,-0.00,-0.00,0.05,0.05,-0.03
Vis,0.35,0.06,0.21,0.08,0.04,0.32,0.01,,0.11,0.12,0.04,-0.01,0.02
Pf,0.04,-0.01,0.03,0.01,-0.00,0.09,0.00,0.07,,0.07,0.01,0.04,-0.00
Exp,0.34,0.12,0.25,0.09,0.12,0.33,0.02,0.15,0.13,,0.01,0.08,-0.01
Im,0.05,0.01,0.09,0.02,0.06,0.09,0.07,0.05,-0.00,0.02,,0.11,-0.04
SA,-0.00,0.02,0.02,0.03,0.07,0.02,0.02,-0.01,0.03,0.04,0.11,,-0.01
Inc,0.00,0.00,0.03,0.00,0.02,0.09,-0.03,0.01,0.00,0.00,-0.01,0.02,
