,Use,Qu,PU,PEU,ENJ,BI,JR,Vis,Pf,Exp,Im,SA,Inc
Use,,0.14,0.42,-0.00,0.09,0.48,-0.02,0.20,0.06,0.24,0.07,0.02,0.05
Qu,0.18,,0.26,0.02,0.04,0.21,-0.05,0.12,-0.04,0.12,-0.07,-0.53,-0.61
PU,0.29,0.18,,0.02,0.18,0.34,-0.03,0.07,0.01,0.12,0.06,-0.04,-0.02
PEU,-0.12,0.07,0.06,,0.19,0.06,-0.05,0.05,0.01,0.02,-0.03,-0.05,-0.01
ENJ,0.05,0.09,0.19,-0.01,,0.04,-0.01,-0.04,-0.06,0.03,0.04,0.04,0.01
BI,0.37,0.13,0.27,-0.01,0.08,,-0.02,0.13,0.06,0.13,0.05,-0.01,0.07
JR,-0.02,-0.02,-0.01,-0.04,-0.00,0.01,,-0.09,-0.01,-0.04,0.06,-0.05,-0.02
Vis,0.34,0.07,0.24,0.03,0.04,0.33,0.00,,0.10,0.14,0.02,-0.02,0.03
Pf,0.02,-0.02,0.02,-0.03,-0.03,0.09,-0.00,0.03,,0.04,-0.00,0.03,-0.02
Exp,0.34,0.15,0.27,0.08,0.13,0.34,0.03,0.13,0.11,,0.01,0.03,-0.00
Im,0.01,-0.01,0.10,-0.00,0.06,0.07,0.06,0.00,-0.01,-0.01,,0.02,-0.04
SA,0.02,0.02,-0.02,0.01,0.06,-0.08,-0.00,-0.04,0.02,0.04,0.09,,-0.00
Inc,0.01,-0.01,0.02,-0.02,-0.00,0.10,-0.02,-0.04,-0.04,-0.01,-0.00,-0.01,
