,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.41,1.74,1.40,1.51,1.85,1.49,1.49,1.43,1.36
Qu,1.49,,1.59,1.46,1.48,1.51,1.41,1.38,1.31,1.27
PU,1.66,1.43,,1.42,1.52,1.78,1.50,1.45,1.41,1.34
PEU,1.38,1.36,1.39,,1.53,1.48,1.49,1.48,1.38,1.27
ENJ,1.44,1.38,1.50,1.44,,1.47,1.50,1.43,1.40,1.34
BI,1.73,1.38,1.60,1.41,1.48,,1.45,1.49,1.42,1.32
JR,1.38,1.28,1.35,1.38,1.42,1.46,,1.43,1.42,1.35
Pf,1.38,1.29,1.36,1.37,1.43,1.49,1.50,,1.37,1.35
Im,1.47,1.33,1.44,1.39,1.46,1.51,1.54,1.43,,1.48
SA,1.40,1.30,1.31,1.37,1.46,1.40,1.44,1.45,1.41,
