,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.39,1.74,1.40,1.47,1.95,1.49,1.46,1.43,1.27
Qu,1.53,,1.57,1.38,1.42,1.62,1.50,1.43,1.25,1.06
PU,1.63,1.41,,1.37,1.64,1.75,1.49,1.46,1.42,1.29
PEU,1.34,1.33,1.37,,1.55,1.46,1.50,1.46,1.38,1.26
ENJ,1.32,1.34,1.49,1.46,,1.45,1.49,1.43,1.41,1.31
BI,1.66,1.36,1.59,1.36,1.45,,1.45,1.46,1.40,1.32
JR,1.34,1.28,1.33,1.36,1.41,1.44,,1.44,1.42,1.30
Pf,1.42,1.28,1.35,1.37,1.41,1.45,1.51,,1.38,1.33
Im,1.40,1.30,1.43,1.37,1.43,1.46,1.56,1.41,,1.32
SA,1.36,1.31,1.35,1.39,1.48,1.36,1.50,1.40,1.42,
