,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,0.14,0.42,-0.00,0.09,0.48,-0.02,0.06,0.07,0.02
Qu,0.18,,0.26,0.02,0.04,0.21,-0.05,-0.04,-0.07,-0.53
PU,0.29,0.18,,0.02,0.18,0.34,-0.03,0.01,0.06,-0.04
PEU,-0.12,0.07,0.06,,0.19,0.06,-0.05,0.01,-0.03,-0.05
ENJ,0.05,0.09,0.19,-0.01,,0.04,-0.01,-0.06,0.04,0.04
BI,0.37,0.13,0.27,-0.01,0.08,,-0.02,0.06,0.05,-0.01
JR,-0.02,-0.02,-0.01,-0.04,-0.00,0.01,,-0.01,0.06,-0.05
Pf,0.02,-0.02,0.02,-0.03,-0.03,0.09,-0.00,,-0.00,0.03
Im,0.01,-0.01,0.10,-0.00,0.06,0.07,0.06,-0.01,,0.02
SA,0.02,0.02,-0.02,0.01,0.06,-0.08,-0.00,0.02,0.09,
