,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,0.86,1.68,0.81,1.43,1.71,0.66,0.75,0.75,1.19
Qu,0.90,,1.47,1.42,1.50,1.60,1.42,1.42,1.32,0.45
PU,1.56,0.81,,1.24,1.55,1.69,1.41,1.44,1.41,1.18
PEU,1.39,1.25,1.36,,1.56,1.36,1.46,1.42,1.37,1.33
ENJ,0.88,1.33,1.51,1.42,,1.44,1.23,1.37,1.37,1.34
BI,1.72,1.37,1.60,1.23,1.44,,1.41,1.45,1.38,1.08
JR,1.09,1.27,1.31,1.33,1.41,0.59,,1.44,1.42,1.34
Pf,1.18,1.27,1.21,1.21,1.38,1.45,1.42,,1.33,1.30
Im,1.43,1.29,1.42,1.21,1.44,0.98,1.47,1.40,,1.34
SA,0.77,0.66,1.33,1.21,1.39,1.42,1.44,0.94,1.48,
