,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.40,1.68,1.39,1.49,1.91,1.51,1.50,1.37,1.35
Qu,1.57,,1.59,1.42,1.53,1.63,1.50,1.45,1.40,1.36
PU,1.63,1.40,,1.35,1.57,1.69,1.50,1.45,1.44,1.33
PEU,1.37,1.33,1.36,,1.56,1.43,1.52,1.47,1.39,1.33
ENJ,1.43,1.35,1.52,1.47,,1.47,1.51,1.44,1.38,1.31
BI,1.66,1.35,1.60,1.39,1.48,,1.51,1.49,1.42,1.33
JR,1.38,1.29,1.33,1.38,1.41,1.43,,1.45,1.42,1.36
Pf,1.42,1.29,1.35,1.38,1.43,1.46,1.52,,1.38,1.33
Im,1.45,1.31,1.46,1.38,1.46,1.51,1.57,1.29,,1.39
SA,1.44,1.30,1.39,1.38,1.48,1.47,1.48,1.51,1.43,
