,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.41,1.72,1.39,1.48,1.90,1.50,1.51,1.42,1.33
Qu,1.54,,1.60,1.41,1.53,1.63,1.50,1.47,1.40,1.36
PU,1.61,1.40,,1.40,1.54,1.70,1.49,1.47,1.43,1.33
PEU,1.41,1.33,1.40,,1.56,1.44,1.51,1.48,1.36,1.31
ENJ,1.42,1.35,1.51,1.44,,1.48,1.50,1.46,1.36,1.34
BI,1.72,1.39,1.56,1.38,1.49,,1.47,1.51,1.43,1.33
JR,1.38,1.29,1.34,1.38,1.43,1.43,,1.47,1.41,1.36
Pf,1.42,1.29,1.34,1.38,1.43,1.47,1.52,,1.38,1.34
Im,1.48,1.31,1.44,1.39,1.47,1.52,1.57,1.46,,1.38
SA,1.42,1.30,1.40,1.39,1.47,1.47,1.48,1.50,1.41,
