,Use,Qu,PU,PEU,ENJ,BI,JR,Pf,Im,SA
Use,,1.41,1.74,1.40,1.44,1.89,1.49,1.47,1.38,1.31
Qu,1.43,,1.60,1.43,1.50,1.67,1.46,1.42,1.24,1.32
PU,1.62,1.40,,1.38,1.52,1.70,1.50,1.43,1.42,1.28
PEU,1.32,1.36,1.38,,1.58,1.42,1.50,1.46,1.36,1.27
ENJ,1.44,1.34,1.46,1.43,,1.42,1.50,1.44,1.36,1.31
BI,1.73,1.41,1.56,1.37,1.47,,1.46,1.47,1.43,1.28
JR,1.41,1.29,1.37,1.37,1.43,1.37,,1.44,1.39,1.30
Pf,1.40,1.28,1.33,1.36,1.43,1.42,1.53,,1.36,1.29
Im,1.43,1.31,1.44,1.39,1.47,1.45,1.57,1.42,,1.30
SA,1.41,1.30,1.31,1.36,1.47,1.44,1.49,1.45,1.47,
