,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
BI,,0.126,0.214,0.083,0.203,0.353,0.097,0.193,0.063,0.513
ENJ,0.157,,0.138,0.068,0.29,0.216,0.035,0.101,0.101,0.236
Im,0.198,0.039,,0.11,0.179,0.192,0.049,0.115,0.058,0.338
JR,0.038,0.004,0.128,,0.18,0.015,0.044,0.019,0.031,0.159
PEU,0.062,0.191,0.118,0.061,,0.113,0.062,0.097,0.114,0.198
PU,0.42,0.202,0.205,0.06,0.224,,0.055,0.211,0.074,0.434
Pf,0.105,0.005,0.099,0.076,0.19,0.046,,0.04,0.067,0.23
Qu,0.327,0.128,0.203,0.056,0.232,0.293,0.055,,0.08,0.364
SA,0.085,0.095,0.129,0.088,0.237,0.088,0.074,0.07,,0.201
Use,0.608,0.116,0.272,0.065,0.221,0.421,0.125,0.227,0.101,
